model,dataset,tier_1,tier_2,U_statistic,p_value,significance
Gemini 2.5 Flash,crehate,low,high,263537.0,0.0,***
Gemini 2.5 Flash,mhs,low,medium,639679.0,0.2734,ns
Gemini 2.5 Flash,mhs,low,high,33390677.5,0.0,***
Gemini 2.5 Flash,mhs,medium,high,393889.0,0.0027,**
HateXplain,crehate,low,high,2178.0,1.0,ns
HateXplain,mhs,low,medium,2178.0,1.0,ns
HateXplain,mhs,low,high,2178.0,1.0,ns
HateXplain,mhs,medium,high,2178.0,1.0,ns
Llama 3.1 8B,crehate,low,high,1920.5,0.0909,ns
Llama 3.1 8B,mhs,low,medium,2145.0,0.7988,ns
Llama 3.1 8B,mhs,low,high,2281.0,0.3663,ns
Llama 3.1 8B,mhs,medium,high,2314.5,0.246,ns
Mistral 7B,crehate,low,high,2144.0,0.5548,ns
Mistral 7B,mhs,low,medium,2178.0,1.0,ns
Mistral 7B,mhs,low,high,2114.0,0.4232,ns
Mistral 7B,mhs,medium,high,2114.0,0.4232,ns
