item_id,model_name,n_runs,llm_flip_rate,llm_output_entropy,human_entropy,human_disagreement_var,disagreement_tier,dataset
mhs-36974,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-32851,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
mhs-18181,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-13435,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
mhs-4956,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-26480,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-9146,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-37052,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-48336,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-36823,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-11736,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-19233,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-30701,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45629,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-6324,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-48539,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-46405,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-14032,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5367,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-21147,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
mhs-26237,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-24369,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5333,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-11343,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-7717,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-39456,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
mhs-5261,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
mhs-22919,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-41169,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-40740,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-6811,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-17544,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
mhs-13042,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45028,gemini-2.5-flash,2,0.0,0.0,0.0,0.0,low,mhs
mhs-36391,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-16271,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45423,gemini-2.5-flash,5,0.0,0.0,0.0,0.0,low,mhs
mhs-9348,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
mhs-46234,gemini-2.5-flash,4,0.0,0.0,0.0,0.0,low,mhs
