item_id,model_name,n_runs,llm_flip_rate,llm_output_entropy,human_entropy,human_disagreement_var,disagreement_tier,dataset
mhs-36974,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-32851,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-18181,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-13435,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-4956,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-26480,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-9146,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-37052,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-48336,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-36823,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-11736,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-19233,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-30701,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45629,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-6324,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-48539,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-46405,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-14032,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5367,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-21147,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-26237,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-24369,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5333,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-11343,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-7717,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-39456,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5261,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-22919,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-41169,mistralai/Mistral-7B-Instruct-v0.3,5,0.4,0.971,0.0,0.0,low,mhs
mhs-40740,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-6811,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-17544,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-13042,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45028,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-36391,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-16271,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45423,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-9348,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-46234,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-10165,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-14382,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-47733,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-12990,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-32744,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-22396,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-22168,mistralai/Mistral-7B-Instruct-v0.3,5,0.4,0.971,0.0,0.0,low,mhs
mhs-22705,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-23747,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-40086,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-3676,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
mhs-23206,mistralai/Mistral-7B-Instruct-v0.3,5,0.0,0.0,0.0,0.0,low,mhs
